# Dd[Mpc] Ddt[Mpc]
963.738768 2152.461684
963.698044 2153.069680
963.698044 2153.069680
933.665073 2097.372110
957.644878 2090.749682
960.089273 2050.715119
880.597338 2070.085911
835.669658 1927.685788
835.669658 1927.685788
835.669658 1927.685788
819.046643 1944.640479
816.762218 1947.945533
816.762218 1947.945533
816.762218 1947.945533
816.762218 1947.945533
816.762218 1947.945533
809.779456 1935.585501
809.779456 1935.585501
789.255623 1958.694432
788.374960 1958.187755
758.040913 1888.964244
728.471668 1951.164026
728.471668 1951.164026
725.657447 1945.756098
792.535727 2118.702538
792.535727 2118.702538
803.349012 2126.948591
803.349012 2126.948591
803.323635 2083.384296
793.915669 2100.514503
795.259984 2129.327689
873.320958 2125.676425
816.144952 2050.687381
850.580538 2069.379583
813.059456 2081.442665
813.059456 2081.442665
806.720084 2074.962983
806.720084 2074.962983
806.720084 2074.962983
806.720084 2074.962983
806.720084 2074.962983
806.720084 2074.962983
806.720084 2074.962983
806.720084 2074.962983
805.339442 2075.228917
805.339442 2075.228917
805.339442 2075.228917
712.594351 2039.773142
709.340399 2068.792175
709.340399 2068.792175
709.340399 2068.792175
730.602985 2071.344336
730.602985 2071.344336
743.248116 2086.940175
743.248116 2086.940175
742.975776 2090.505239
672.764137 1904.537355
672.764137 1904.537355
672.764137 1904.537355
672.764137 1904.537355
673.072309 1914.403840
664.237668 1943.868752
664.237668 1943.868752
735.256076 2041.410071
735.256076 2041.410071
735.256076 2041.410071
730.056933 2036.934856
730.056933 2036.934856
730.056933 2036.934856
730.056933 2036.934856
731.390691 2038.569715
731.390691 2038.569715
728.142085 2035.510927
718.715496 2065.743961
731.108273 2100.265210
760.726011 2121.845819
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
826.784194 2030.156966
812.546165 2012.465743
812.546165 2012.465743
812.546165 2012.465743
812.546165 2012.465743
796.384965 2013.601734
819.546761 1991.592745
819.546761 1991.592745
810.127734 1976.606481
816.668354 1940.417128
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
820.490086 1938.481604
797.388326 2037.044908
803.890343 1958.848935
803.890343 1958.848935
803.890343 1958.848935
803.890343 1958.848935
759.845264 2036.566166
759.845264 2036.566166
759.845264 2036.566166
759.845264 2036.566166
759.845264 2036.566166
781.364054 2091.153749
781.364054 2091.153749
783.447165 2092.618136
783.447165 2092.618136
783.447165 2092.618136
783.447165 2092.618136
795.546284 2101.084689
844.173712 2091.987852
844.173712 2091.987852
870.372394 2091.367352
870.372394 2091.367352
870.372394 2091.367352
870.372394 2091.367352
829.811857 2067.446848
829.811857 2067.446848
829.811857 2067.446848
829.811857 2067.446848
833.440215 2065.541197
833.440215 2065.541197
833.440215 2065.541197
833.440215 2065.541197
833.440215 2065.541197
831.405560 2062.292113
829.122080 2055.049703
829.122080 2055.049703
829.122080 2055.049703
829.122080 2055.049703
859.350943 2059.023302
859.350943 2059.023302
859.350943 2059.023302
867.762468 2054.555317
867.762468 2054.555317
867.762468 2054.555317
867.762468 2054.555317
874.912883 2063.351910
874.912883 2063.351910
874.912883 2063.351910
905.720060 2033.458122
905.720060 2033.458122
901.483566 2038.708521
901.483566 2038.708521
901.483566 2038.708521
861.843093 2018.286914
861.843093 2018.286914
861.843093 2018.286914
861.843093 2018.286914
864.808039 2028.075927
842.048981 2015.908237
862.031697 2068.294977
862.031697 2068.294977
862.809409 2067.741731
862.809409 2067.741731
862.809409 2067.741731
862.809409 2067.741731
862.809409 2067.741731
862.809409 2067.741731
815.951585 2144.371765
815.951585 2144.371765
765.062350 2012.305897
765.062350 2012.305897
726.640479 1962.444025
726.640479 1962.444025
748.713711 2062.451743
748.713711 2062.451743
748.713711 2062.451743
748.713711 2062.451743
748.713711 2062.451743
748.713711 2062.451743
748.713711 2062.451743
756.847194 2078.087900
756.847194 2078.087900
772.508155 2085.051688
772.508155 2085.051688
772.508155 2085.051688
798.900745 2105.613110
798.900745 2105.613110
812.104119 2084.557747
812.104119 2084.557747
800.917337 2073.569955
816.483329 2113.308011
795.891625 2099.761841
795.891625 2099.761841
795.220932 2117.865815
795.220932 2117.865815
795.165078 2118.254873
742.359838 2066.993389
742.359838 2066.993389
742.359838 2066.993389
756.314708 2080.290151
732.502616 2058.810747
732.502616 2058.810747
732.502616 2058.810747
732.502616 2058.810747
732.502616 2058.810747
732.502616 2058.810747
737.945453 2075.061236
751.501458 2082.243720
751.501458 2082.243720
751.501458 2082.243720
767.130900 2091.530939
767.130900 2091.530939
767.130900 2091.530939
767.130900 2091.530939
797.100065 2101.161564
815.791540 2086.234086
815.791540 2086.234086
815.791540 2086.234086
759.870420 2024.176529
759.870420 2024.176529
759.870420 2024.176529
759.870420 2024.176529
807.811861 2077.136611
807.811861 2077.136611
807.811861 2077.136611
802.991888 2079.384897
802.991888 2079.384897
802.991888 2079.384897
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
765.876926 2062.825838
764.069479 2057.192489
764.069479 2057.192489
764.069479 2057.192489
764.069479 2057.192489
758.339086 2102.782524
758.339086 2102.782524
749.790165 2082.612932
749.790165 2082.612932
749.790165 2082.612932
779.103446 2103.212324
779.103446 2103.212324
797.655298 2104.876253
797.655298 2104.876253
817.112624 2113.971763
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
838.685174 2177.722943
803.642280 2142.445410
803.642280 2142.445410
813.919676 2180.442911
839.893126 2219.291958
839.893126 2219.291958
839.893126 2219.291958
819.307372 2170.808576
900.113370 2170.596002
886.719730 2151.768396
886.719730 2151.768396
886.719730 2151.768396
886.719730 2151.768396
886.719730 2151.768396
943.107306 2179.325605
943.107306 2179.325605
912.341976 2194.478743
959.858507 2153.009752
959.858507 2153.009752
945.735576 2117.420257
931.892481 2104.233879
931.892481 2104.233879
937.006003 2097.314236
937.006003 2097.314236
937.006003 2097.314236
937.006003 2097.314236
938.992243 2090.426983
933.927376 2097.061758
933.927376 2097.061758
884.745952 2103.238927
880.889145 2102.651619
880.889145 2102.651619
880.889145 2102.651619
942.960359 2068.004806
942.960359 2068.004806
942.960359 2068.004806
942.960359 2068.004806
957.294300 2068.723311
887.537447 2086.737733
890.778796 2079.675670
890.778796 2079.675670
890.378950 2079.514909
890.378950 2079.514909
883.507546 2050.964947
888.383870 2048.398118
888.383870 2048.398118
902.013010 2038.578492
902.013010 2038.578492
902.013010 2038.578492
900.108276 2071.489804
900.108276 2071.489804
900.108276 2071.489804
900.108276 2071.489804
941.663124 2030.532462
934.406039 2040.473512
934.406039 2040.473512
934.406039 2040.473512
955.732087 2062.455428
955.732087 2062.455428
955.732087 2062.455428
952.368070 2065.620326
952.368070 2065.620326
952.368070 2065.620326
981.967918 2035.588827
981.967918 2035.588827
912.540330 2099.645554
913.733963 2098.787568
870.052677 2113.307173
870.219630 2113.457377
870.219630 2113.457377
870.219630 2113.457377
835.521019 2097.342330
817.108670 2097.898149
824.905326 2140.565028
785.586398 2140.159570
785.647621 2140.525247
794.479021 2098.193023
794.479021 2098.193023
846.988084 2264.699759
846.988084 2264.699759
846.988084 2264.699759
849.500147 2200.357828
849.500147 2200.357828
849.500147 2200.357828
843.358261 2174.073829
919.394896 2170.831206
919.394896 2170.831206
920.719669 2148.272012
920.719669 2148.272012
920.719669 2148.272012
959.905255 2133.615146
959.905255 2133.615146
959.905255 2133.615146
959.905255 2133.615146
970.145564 2080.293203
980.139415 2074.472300
973.591296 2103.313130
1003.477195 2064.424389
1003.477195 2064.424389
990.956024 2106.264522
990.956024 2106.264522
990.956024 2106.264522
861.721790 2100.156574
861.721790 2100.156574
890.922676 2095.194092
890.922676 2095.194092
890.922676 2095.194092
865.154459 2034.643555
865.154459 2034.643555
860.117688 2033.204437
836.512424 2063.484154
836.512424 2063.484154
826.565992 2085.889750
826.565992 2085.889750
826.690511 2079.456902
816.358454 2017.640530
831.064954 2026.433486
829.761848 2044.790053
852.079968 2042.601012
852.079968 2042.601012
848.154539 2034.798841
848.154539 2034.798841
851.612720 1996.991330
848.807024 2017.107083
848.807024 2017.107083
817.758961 2081.168254
817.758961 2081.168254
817.758961 2081.168254
799.475409 2098.245647
794.191212 2091.954053
796.425825 2090.041003
796.425825 2090.041003
796.425825 2090.041003
795.799703 2098.858726
795.799703 2098.858726
795.799703 2098.858726
795.799703 2098.858726
795.799703 2098.858726
795.799703 2098.858726
795.799703 2098.858726
753.013175 2059.844568
790.120491 2078.217530
766.000998 2049.891496
773.015804 2066.613898
704.597702 1973.391452
704.597702 1973.391452
717.591051 2025.750727
729.361658 2025.654577
740.522628 1994.314668
740.522628 1994.314668
717.712044 1941.324048
717.712044 1941.324048
717.712044 1941.324048
717.712044 1941.324048
717.712044 1941.324048
822.475394 2034.477652
818.050997 1999.955286
818.050997 1999.955286
784.170398 1956.021483
784.170398 1956.021483
781.702441 2015.647961
757.102429 2049.738316
721.166358 2059.459945
685.737544 2046.568350
652.860289 2008.451113
652.860289 2008.451113
652.860289 2008.451113
602.052353 1974.630114
602.500481 1974.380942
602.500481 1974.380942
655.564790 2063.987675
655.564790 2063.987675
678.281974 2158.553042
678.281974 2158.553042
678.281974 2158.553042
678.281974 2158.553042
690.874753 2168.306854
675.277332 2137.188804
675.277332 2137.188804
675.277332 2137.188804
688.410866 2153.911978
688.410866 2153.911978
688.410866 2153.911978
735.413520 2143.082730
744.579501 2147.933429
744.579501 2147.933429
744.579501 2147.933429
726.667257 2144.708340
717.438795 2146.451387
717.438795 2146.451387
650.076765 2137.629028
650.112154 2205.506185
662.203650 2220.173849
662.203650 2220.173849
662.203650 2220.173849
662.203650 2220.173849
693.404870 2216.974912
719.248231 2162.929849
729.302065 2161.509973
729.302065 2161.509973
618.887759 2073.373654
618.887759 2073.373654
644.349422 2084.927497
644.349422 2084.927497
644.349422 2084.927497
699.688914 2107.123312
706.962063 2106.448478
706.962063 2106.448478
753.519761 2169.218042
753.519761 2169.218042
759.954437 2166.073120
754.250346 2168.879438
754.250346 2168.879438
754.250346 2168.879438
775.752534 2273.692354
775.752534 2273.692354
775.752534 2273.692354
778.684617 2299.057647
777.511064 2303.141883
777.511064 2303.141883
777.511064 2303.141883
773.880010 2180.066003
773.880010 2180.066003
773.880010 2180.066003
681.640222 2203.782325
703.995001 2205.080315
719.896740 2192.525144
719.896740 2192.525144
719.896740 2192.525144
719.896740 2192.525144
719.896740 2192.525144
716.322655 2189.199228
687.915585 2190.401135
687.915585 2190.401135
656.970160 2173.074713
724.618142 2177.598035
724.618142 2177.598035
730.523710 2162.238795
730.523710 2162.238795
730.523710 2162.238795
730.523710 2162.238795
745.297372 2131.205723
711.669827 2131.209665
711.669827 2131.209665
711.669827 2131.209665
699.058706 2161.440429
716.193103 2206.443540
718.227211 2205.398032
718.227211 2205.398032
708.878732 2213.743382
743.528809 2239.850194
743.528809 2239.850194
754.280273 2327.130328
754.280273 2327.130328
754.280273 2327.130328
754.280273 2327.130328
754.280273 2327.130328
754.280273 2327.130328
754.280273 2327.130328
791.969227 2241.686634
792.223067 2241.810425
792.223067 2241.810425
792.223067 2241.810425
808.712206 2364.591318
843.369509 2291.255480
843.369509 2291.255480
843.369509 2291.255480
843.369509 2291.255480
813.620675 2196.406306
845.243766 2154.237821
844.128290 2140.674469
844.128290 2140.674469
831.097229 2120.678543
831.097229 2120.678543
825.011516 2115.609318
825.011516 2115.609318
825.011516 2115.609318
855.009343 2136.131604
855.009343 2136.131604
865.203275 2155.963596
865.203275 2155.963596
865.203275 2155.963596
865.203275 2155.963596
865.203275 2155.963596
844.771950 2107.308393
844.771950 2107.308393
844.771950 2107.308393
796.100138 2079.336410
796.100138 2079.336410
861.250786 2131.650395
861.250786 2131.650395
861.250786 2131.650395
861.250786 2131.650395
901.655496 2115.886924
837.743416 2144.529850
837.743416 2144.529850
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
853.397459 2160.076626
856.139222 2159.958081
826.279360 2161.509944
731.252134 2094.025093
808.759605 2155.357483
808.759605 2155.357483
808.759605 2155.357483
808.759605 2155.357483
867.103991 2097.182260
867.103991 2097.182260
867.103991 2097.182260
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
867.212377 2097.697910
874.010177 2085.037421
864.876725 2091.864289
874.852823 2122.843844
894.375317 2128.848883
855.328771 2163.821962
858.531705 2164.735084
825.773617 2152.864720
879.685731 2267.984122
835.765579 2181.676504
827.647302 2180.813176
853.228006 2157.153194
853.228006 2157.153194
862.227432 2228.433708
862.227432 2228.433708
786.298993 2124.436892
835.121144 2150.162367
829.505891 2130.350263
839.944697 2127.585555
839.944697 2127.585555
839.925366 2127.732731
840.965566 2119.800604
875.402110 2091.050707
875.402110 2091.050707
893.816378 2119.691344
893.816378 2119.691344
896.013349 2118.111769
896.013349 2118.111769
896.013349 2118.111769
927.658194 2129.129918
960.044550 2133.756549
920.452817 2167.193557
920.452817 2167.193557
923.338956 2158.993018
923.338956 2158.993018
934.004180 2148.521706
940.700819 2233.854252
940.700819 2233.854252
940.700819 2233.854252
940.700819 2233.854252
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.850252 2153.540608
914.896769 2016.499039
914.896769 2016.499039
914.896769 2016.499039
914.896769 2016.499039
914.896769 2016.499039
914.896769 2016.499039
880.254570 2066.784226
880.254570 2066.784226
880.254570 2066.784226
941.111401 1994.279659
941.111401 1994.279659
943.930738 2002.140288
940.979338 2006.222235
946.210504 2003.475131
946.210504 2003.475131
896.253484 2024.927531
896.253484 2024.927531
896.253484 2024.927531
917.249383 2007.401604
882.470804 2098.756388
882.470804 2098.756388
793.246314 2105.181583
834.161014 2103.505163
841.895403 2092.006641
841.895403 2092.006641
843.149126 2095.595066
843.149126 2095.595066
843.149126 2095.595066
843.149126 2095.595066
845.755170 2089.721214
845.755170 2089.721214
848.547723 2095.077437
848.547723 2095.077437
848.547723 2095.077437
848.547723 2095.077437
848.547723 2095.077437
848.547723 2095.077437
856.839157 2094.901888
848.088980 2095.203645
875.584990 2041.618810
877.107613 2039.479912
894.067339 2014.588338
894.067339 2014.588338
894.067339 2014.588338
894.067339 2014.588338
921.098908 2010.813613
886.268122 1979.080901
886.268122 1979.080901
886.268122 1979.080901
895.508784 1960.047815
886.969768 1966.157491
886.969768 1966.157491
936.432096 1919.392165
936.432096 1919.392165
936.432096 1919.392165
933.764757 1908.779337
933.764757 1908.779337
921.649641 1940.109680
862.989132 1990.208840
840.228497 1929.852582
840.228497 1929.852582
840.228497 1929.852582
806.391047 1982.249602
806.391047 1982.249602
807.302529 1980.727254
821.938705 2049.654786
821.938705 2049.654786
821.938705 2049.654786
817.834580 2054.850802
817.834580 2054.850802
768.088897 2097.334132
735.513246 2069.598335
736.534888 2070.661540
736.534888 2070.661540
735.276027 2069.899269
715.861849 2120.895022
608.687767 2021.684636
726.713489 2088.539295
726.713489 2088.539295
717.166962 2075.766195
717.166962 2075.766195
717.166962 2075.766195
717.166962 2075.766195
739.878417 2039.979020
739.878417 2039.979020
739.878417 2039.979020
736.938171 2039.797599
736.938171 2039.797599
652.857401 2005.202529
652.857401 2005.202529
652.857401 2005.202529
652.857401 2005.202529
652.857401 2005.202529
652.857401 2005.202529
652.857401 2005.202529
648.699903 2039.072961
648.699903 2039.072961
648.699903 2039.072961
624.014577 2008.576459
720.374804 2042.573943
624.399998 2039.764869
624.399998 2039.764869
619.913838 2033.740332
679.137779 2056.574782
679.137779 2056.574782
679.137779 2056.574782
680.206436 2055.587090
680.206436 2055.587090
599.096622 2036.257622
599.096622 2036.257622
599.096622 2036.257622
599.096622 2036.257622
599.096622 2036.257622
599.096622 2036.257622
603.723329 2042.834748
603.723329 2042.834748
602.465386 2041.228046
631.064668 2058.559258
627.569618 2059.871038
681.434127 2103.222613
662.704659 2104.538035
662.704659 2104.538035
662.233893 2142.637897
612.614248 2074.950233
612.614248 2074.950233
612.614248 2074.950233
612.614248 2074.950233
646.609971 2083.447206
619.322332 2000.432809
619.322332 2000.432809
619.322332 2000.432809
619.322332 2000.432809
619.322332 2000.432809
619.322332 2000.432809
638.421122 2017.014936
638.421122 2017.014936
638.421122 2017.014936
670.895405 2051.131787
670.895405 2051.131787
670.895405 2051.131787
670.895405 2051.131787
658.091992 2040.901535
658.091992 2040.901535
658.091992 2040.901535
658.091992 2040.901535
658.091992 2040.901535
630.653034 2036.941381
630.653034 2036.941381
626.733573 2030.972309
609.696697 2100.869466
609.696697 2100.869466
609.696697 2100.869466
618.805681 2064.367824
637.043967 2081.991705
637.043967 2081.991705
657.863018 2092.198838
657.399599 2088.864478
641.489914 2098.112597
641.489914 2098.112597
611.970519 2089.683365
