Dt,weight
5172.279,1.1467012403740326e-06
4663.389,3.283236200512696e-06
4543.731,1.2217850307246116e-05
4764.689,3.6912403092356098e-06
4704.585999999999,1.106952940320961e-06
4465.47,3.2570987492053963e-06
4531.484,1.7471306768951057e-06
4638.833,1.9184132041005332e-06
4469.9490000000005,6.480671492230469e-07
4431.83,7.345107653184293e-07
4452.948,1.3499468499071392e-06
4418.95,3.152579892963376e-06
5421.618,7.939926554145896e-07
4371.463,8.443662585833678e-06
4403.125,2.147637393473411e-06
5132.81,2.1876420543036324e-07
4441.554,0.00011733153060839208
5272.6140000000005,5.983151048801548e-07
4767.967000000001,1.1733153060839208e-05
4615.08,1.8883086084530757e-06
4856.7609999999995,2.136231144247836e-06
4542.376,8.648627411604691e-06
4981.57,7.3266878476470385e-06
4807.1320000000005,4.135602772282364e-07
4481.96,1.3261842175495316e-06
4725.928,1.5902817256780127e-06
4568.938,1.1641972186439314e-05
4846.018,1.6366479508232982e-06
4798.995,8.426645801048631e-06
4941.088,1.229896760264764e-06
4851.939,4.2071398087019956e-07
4427.135,2.765401873531042e-06
6693.717,1.2119241675922773e-07
4463.69,1.4970334589344241e-06
4610.755999999999,3.4883351385614947e-06
4369.942,1.161168344431813e-05
4687.088,1.8170397965890137e-06
4679.63,5.0268108387807e-07
4508.503,6.716528565372699e-07
4687.189,1.9014753392327993e-06
4659.251,5.55313550457902e-06
4545.58,3.857253771373464e-06
4729.877,2.085891584964957e-05
4741.698,5.113861570841283e-07
4681.785,3.1399475480289786e-06
4987.657,3.3442299486326496e-07
4685.156,2.867183807673351e-06
4850.9490000000005,8.878289529146179e-06
4712.467000000001,2.186826548491412e-06
4454.856,6.960050671006766e-07
5452.297,4.561745050759183e-07
4714.462,5.393020919397874e-06
4591.23,6.664085506594414e-07
4410.9490000000005,2.1822656994138315e-06
4720.258,2.222222389313922e-06
4716.804,2.351158964808882e-06
4523.008,2.0031602998819415e-06
4771.9490000000005,8.648921426982912e-07
4672.251,4.611172646553128e-06
4702.24,2.2038113526563706e-06
5107.585999999999,1.7662292968845301e-06
4733.094,5.221795647818732e-07
4845.887,1.80215333375493e-06
4699.231,8.25667912161485e-06
4643.392,6.535915434348639e-07
5255.153,5.315777405558511e-07
4590.576,1.7761799120796897e-05
4704.572,1.8112987594669298e-06
4658.611,1.9949804825699906e-06
4582.460999999999,2.9460567856877966e-06
4811.088,1.0942298116908325e-06
4642.688,1.0725964696512806e-06
4646.99,1.0720662103375787e-06
4969.816,5.135410318982541e-07
5159.758,1.967830483565417e-06
4693.332,3.736100350338084e-06
4748.44,1.6128084618141909e-06
4625.78,5.299988263931647e-06
4671.973,2.1872304327741244e-06
4890.89,2.1224701929142364e-06
4813.795999999999,2.1184963429601904e-06
4544.342000000001,1.1405547715198765e-05
4513.951,3.4068650247061067e-06
4685.629,1.456944204205908e-06
4946.167,7.694568141939085e-07
4678.95,1.3026181112605233e-05
4489.596,1.8850697969445793e-06
5058.495,4.090062885094812e-06
4631.875,1.9288806673816164e-06
4691.971,5.407757795460582e-07
4577.363,2.9742131425922063e-06
4637.063,7.2989627132973506e-06
4836.182,1.4092270557701696e-06
4558.616,2.9423150531376078e-06
5578.906,1.574912458643905e-06
4361.024,4.1273141176988265e-06
6242.205,2.76398956808268e-07
4486.456,3.4895901199916853e-06
4666.298,1.0099887318498347e-06
5211.340999999999,1.0313688080109548e-06
4503.847,2.02248020512971e-06
4743.89,3.4805550790006323e-06
4579.371,5.805570918521231e-07
4484.052,6.490074826168978e-06
4869.956,2.8532387098660245e-06
4614.486,1.5745116692599104e-06
4949.282,2.3433680731025067e-06
4622.67,8.525450442624124e-06
4363.369000000001,1.4319565077723837e-05
4594.623,7.057503873475353e-07
4481.643,1.8196534385564534e-06
4743.39,1.4768278968368247e-06
4680.588,2.467350231566234e-06
4590.104,8.652826157532252e-06
4749.685,2.0812915338369473e-06
6062.454000000001,6.887769311445431e-08
5139.516,1.1003933024879381e-06
4884.412,1.0553589154243434e-06
5013.875,1.7527345068406873e-05
4675.498,2.135468767530276e-06
4518.028,1.757126168121678e-05
4561.268,5.779847152009252e-07
4489.577,1.78987432309085e-06
4708.095,2.467977980189556e-06
4659.212,1.7887462325081009e-06
4416.568,1.854613930292617e-05
4587.63,2.4791046568975954e-06
4531.102,8.789151287900235e-07
4608.643,1.1756942515652374e-06
4657.63,1.896472951271436e-05
4660.735,6.478267787559407e-06
4980.084,2.0587317854477762e-06
4624.413,1.0308896145261017e-05
4722.302,5.009889995855914e-06
4778.134,4.30382857118721e-06
4630.409000000001,1.7291157872734712e-06
4930.128,3.540375860506425e-07
4659.389,1.2339484985032163e-06
5064.686,5.488880249026637e-06
4760.359,2.7013704823192674e-06
4744.98,4.4515336441416635e-07
4506.182,6.992655429001999e-07
4811.969,2.5435734604615283e-06
4594.432,5.414447934856219e-06
4461.925,4.894797418143491e-06
4687.892,1.5321543695874764e-05
4827.264,3.929523782972833e-07
4873.6179999999995,1.03210642553877e-06
4453.537,3.5464047232092924e-06
4674.404,3.5471707106420234e-06
4744.44,4.625463857200429e-07
4939.2429999999995,3.235137863718178e-06
5458.291,1.9476058362590563e-06
4552.766,1.0784834828295686e-05
4786.697,8.465868484136078e-07
4912.231,6.169577431251115e-06
4681.887,3.962723793154848e-06
4408.485,3.639925341040075e-06
4580.16,5.916765471298203e-06
4740.179,5.838222099997236e-06
4541.5740000000005,1.9773586450855555e-06
4591.189,2.029046548576622e-06
4771.713,1.0597562506863172e-06
5157.168,2.418578238484075e-07
4473.204000000001,7.079255853299099e-07
4997.536,1.9685856388526347e-06
4717.72,1.4005293587393895e-05
5732.184,1.7841152323929102e-06
6053.529,1.4907363716759874e-07
4573.024,1.0328440430665847e-06
4635.363,8.70537753776567e-07
4885.754,6.385338295383784e-07
4892.024,1.8136761574988873e-06
4796.152,1.6612776706384286e-06
4847.152,4.745277702907322e-06
4530.151,1.9732125124362013e-06
4908.436,7.374163593982765e-06
4603.587,2.3438859528213356e-06
4620.686,5.518544853239672e-07
4951.529,2.6870240793114935e-06
4519.357,4.41023118911565e-06
4504.888,3.2696975660703474e-06
